tenant,jtl_database,jtl_version,marketplace_sample_group,jtl_internal_order_id,jtl_order_number,external_order_number_masked,raw_platform,raw_payment,raw_shipping,shop_store_field,marketplace_account_field,jtl_ui_channel,jtl_ui_payment,postgres_channel,postgres_payment,expected_canonical_marketplace,expected_canonical_payment,evidence_source,evidence_strength,status,reviewer,reviewed_at_utc,notes
My Company,,,Amazon,jtl-id#9d2aa4cc2892,order#9c69712f806b,999-9999999-9999999,amazon.de,Amazon Marktplatz,4DHL Kleinpaket,,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#e8e0492c3a96,order#b11ed0ebe64f,99-99999-99999,ebay.de,Unknown,"DPD 6,10",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#2467f4bc161c,order#b029ed1d48be,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#bf9e2ff43a02,order#3e04e5d5492b,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#14dbff7f2ea1,order#6c0f7f79f2ee,99-99999-99999,ebay.de,Unknown,"DPD 6,10",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#e1f57a846064,order#dea179d501b7,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#ecc980f4c424,order#6628c7b2238d,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#f091729193e7,order#9e9f5a22e2e9,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#0052bc172b5a,order#391f27a756f7,99-99999-99999,ebay.de,Unknown,DPD WP,,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#16c8a4a82fc5,order#969f37a5623d,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#68a9b75d8c67,order#bfc935d31137,99-99999-99999,ebay.de,Unknown,"DHL 1, 2, 3, 4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#ce049c10f112,order#876ef6466ba5,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#d28e128f444a,order#1d4ae189af6f,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#1d3237e09291,order#117ef6821fba,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#d22585e58f4b,order#f5b011047cd1,99-99999-99999,ebay.de,Unknown,4DHL Kleinpaket,,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#f68363c893a8,order#b29c8d9a3816,99-99999-99999,ebay.de,Unknown,"DHL 1, 2, 3, 4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#8f935ca68b00,order#bc4f2c127a88,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#1bbe34b7acda,order#c854b30f1d8d,99-99999-99999,ebay.de,Unknown,4DHL Kleinpaket,,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#c626dc1fea12,order#edbe4c796b3d,99-99999-99999,ebay.de,Unknown,"DPD 6,10",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#c08060111a32,order#b2ac7c17d82d,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,eBay,jtl-id#216ee6b8d69d,order#8507c0cd1168,99-99999-99999,ebay.de,Unknown,"DPD 1,2,3,4",,,,,ebay.de,Unknown,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#0122e4c526c6,order#6a7869acfcbf,AAAAAA9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#588ae3d096e2,order#0ee1e318c18e,AAA9AA9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#bed1c462c511,order#68cca7cf6d08,AAAA9A9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#7cec7bb34dcc,order#dd3d2daa6828,AAAA9A9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#45883de32da0,order#859729fff7f0,AAAA9A9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#d1deb0035e8a,order#c531b6d9a13a,AAAA9A9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#bdadee8cd8b5,order#446907160832,AA999A9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#0c485bf759ac,order#3102f8612ce2,AAA99A9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#78a2f78726d6,order#df9b21a27208,AA9A9A9,weitere verkaufskanäle,Kaufland.de,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#b2358497f6b8,order#3ed7c1e16266,A9AA9A9,weitere verkaufskanäle,Kaufland.de,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#787a61ad1aca,order#e98a65b1cd67,A9A99A9,weitere verkaufskanäle,Kaufland.de,4DHL Kleinpaket,,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#1d5456ec3ecc,order#a0860acdd102,A9AA9A9,weitere verkaufskanäle,Kaufland.de,4DHL Kleinpaket,,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#27b74129f548,order#53b33da58477,AAA99A9,weitere verkaufskanäle,Kaufland.de,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#77ee96ccca23,order#3a4ce7084032,AA999A9,weitere verkaufskanäle,Kaufland.de,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#047f70a69f7b,order#4bb9dd0eaf86,A9AAAA9,weitere verkaufskanäle,Kaufland.de,DPD WP,,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#fd1ff3cf516c,order#ba6bc0789ec2,AA99AA9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#0232f4cd4a5a,order#f3ee277ac7ea,AAAAAA9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#7278c01c3238,order#62247f03c2c0,AAAAAA9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#9eff91231eb1,order#eb65b96cb3ba,A99AAA9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Kaufland,jtl-id#b9ff1c3b1af3,order#1eb0ac705bb7,A9AAAA9,weitere verkaufskanäle,Kaufland.de,"DHL 1, 2, 3, 4",,,,,weitere verkaufskanäle,Kaufland.de,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#5b66717921f2,order#380e7b1bbe35,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#0ab071d4adcc,order#6ea017f409d2,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#90b5b6e525d5,order#6c9abdcbc8ca,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#692bc853e111,order#08d8d7cde054,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#47877fa5af36,order#861be5b408cf,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#7212f0e99a2c,order#a8b56489d2f8,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#9a7e721f53e4,order#a11112e03ce6,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#7330ce4f5403,order#c374a3b48aa9,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#83e00079b7ab,order#5158e148769f,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,4DHL Kleinpaket,,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#fe6b0388f6f4,order#72e20211708e,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#61474b9d5664,order#5bdfb172b771,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#b14ee69233bb,order#aff9c03bbda8,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#dde528799f2d,order#b8e1a8772cda,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#5019c87891ae,order#fba99f5cdfa4,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#4f2e5fe90265,order#af6789002bf7,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#cb4b95bb23a4,order#10d300229c0c,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#a33f6ecd4243,order#10d322a134a6,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#16d9ef735e83,order#86d37df15011,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#13245b8af3f0,order#5d23ac0cf401,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,MediaMarktSaturn,jtl-id#cd8dcc226f1f,order#7c27c3a1d44b,99999_999999999-A,weitere verkaufskanäle,MediaMarktSaturn,"DPD 1,2,3,4",,,,,weitere verkaufskanäle,MediaMarktSaturn,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Onlineshop/Direct,jtl-id#d1be1dd533f3,order#96478b9e4d64,99999,onlineshop,PayPal,"DHL 1, 2, 3, 4",,,,,onlineshop,PayPal,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Onlineshop/Direct,jtl-id#4fbc90c3fd45,order#6022ef640d42,99999,onlineshop,PayPal,"DHL 1, 2, 3, 4",,,,,onlineshop,PayPal,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Onlineshop/Direct,jtl-id#b29fdbea2bfb,order#ae56cc4adb69,99999,onlineshop,PayPal,"DHL 1, 2, 3, 4",,,,,onlineshop,PayPal,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Onlineshop/Direct,jtl-id#9471906e152a,order#f7ddc787eb9c,99999,onlineshop,PayPal,"DHL 1, 2, 3, 4",,,,,onlineshop,PayPal,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Onlineshop/Direct,jtl-id#d78de99cf634,order#df2d11351453,99999,onlineshop,PayPal,"DHL 1, 2, 3, 4",,,,,onlineshop,PayPal,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
