Section,Page / Area,Feature,Type,Role Required,Notes,Status,Backend API,Frontend Route,Owner,Fix Notes
Overview,/dashboard/overview,Top Products by Revenue,Table,Viewer,Ranked product performance,Implemented,"/api/analytics/*, /api/sales/kpis, /api/products/*, /api/customers/*, /api/inventory/*",/dashboard/overview,Frontend + Backend Analytics,Ranked product performance
Sales,/dashboard/sales,Total Revenue KPI Card,KPI Card,Viewer,With delta,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,With delta
Sales,/dashboard/sales,Total Orders KPI Card,KPI Card,Viewer,With delta,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,With delta
Sales,/dashboard/sales,Average Order Value KPI Card,KPI Card,Viewer,With delta,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,With delta
Sales,/dashboard/sales,Average Margin % KPI Card,KPI Card,Analyst+,Masked for Viewers,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Masked for Viewers
Sales,/dashboard/sales,Cancelled Orders KPI Card,KPI Card,Viewer,Conditional display,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Conditional display
Sales,/dashboard/sales,Cancelled Revenue KPI Card,KPI Card,Viewer,Conditional display,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Conditional display
Sales,/dashboard/sales,Returned Orders KPI Card,KPI Card,Viewer,Conditional display,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Conditional display
Sales,/dashboard/sales,Returned Revenue KPI Card,KPI Card,Viewer,Conditional display,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Conditional display
Sales,/dashboard/sales,Revenue Trend (12-month),Composed Chart,Viewer,Prior year dashed line + YoY badge,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Prior year dashed line + YoY badge
Sales,/dashboard/sales,Revenue by Category,Donut Chart,Viewer,Center label with category count,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Center label with category count
Sales,/dashboard/sales,Revenue Share by Channel,Stacked Bar Chart,Viewer,Direct / Marketplace / Email / Referral,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Direct / Marketplace / Email / Referral
Sales,/dashboard/sales,Revenue vs Previous Period Gauge,ECharts Gauge,Viewer,Percentage with delta pill,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Percentage with delta pill
Sales,/dashboard/sales,Daily Orders & Returns,Bar Chart,Viewer,Dual-color bars,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Dual-color bars
Sales,/dashboard/sales,KPI Performance Radar,Radar Chart,Viewer,Revenue / Margin / AOV / Returns / Growth,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Revenue / Margin / AOV / Returns / Growth
Sales,/dashboard/sales,Order Volume Heatmap,Heatmap,Viewer,24h x 7-day matrix,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,24h x 7-day matrix
Sales,/dashboard/sales,Daily Revenue Area Chart,Area Chart,Viewer,Gradient fill,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Gradient fill
Sales,/dashboard/sales,Revenue Forecast,Composed Chart,Viewer,Linear regression + 14-day projection + confidence bands,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,Linear regression + 14-day projection + confidence bands
Sales,/dashboard/sales,Forecast KPI Strip (4 cards),KPI Strip,Viewer,7-day / 30-day / daily trend / daily delta,Implemented,/api/sales/*,/dashboard/sales,Frontend + Backend Sales,7-day / 30-day / daily trend / daily delta
Sales,/dashboard/sales,Export Sales Data,CSV Download,Manager+,,Planned,Not implemented,/dashboard/sales,Frontend + Backend Sales,No /api/sales/export endpoint yet.
Products,/dashboard/products,Active Products KPI Card,KPI Card,Viewer,,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,
Products,/dashboard/products,Total SKUs KPI Card,KPI Card,Analyst+,Masked for Viewers,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,Masked for Viewers
Products,/dashboard/products,Top Product Revenue KPI Card,KPI Card,Viewer,With delta,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,With delta
Products,/dashboard/products,Average Margin % KPI Card,KPI Card,Analyst+,Masked for Viewers,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,Masked for Viewers
Products,/dashboard/products,Revenue Treemap by Category,ECharts Treemap,Viewer,Proportional area + click-to-drawer,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,Proportional area + click-to-drawer
Products,/dashboard/products,Product Performance Table,Table,Viewer,Searchable / sortable / paginated (30/page),Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,Searchable / sortable / paginated (30/page)
Products,/dashboard/products,Revenue Ranking Bar Chart,Bar Chart,Viewer,Top products by revenue,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,Top products by revenue
Products,/dashboard/products,Margin by Product,Bar Chart,Viewer,Target line at 40%,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,Target line at 40%
Products,/dashboard/products,Margin vs Units vs Revenue,Scatter Bubble Chart,Viewer,X: Margin / Y: Units / Z: Revenue,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,X: Margin / Y: Units / Z: Revenue
Products,/dashboard/products,Product Detail Drawer,Side Panel,Viewer,Sparkline + KPIs + performance bars,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,Sparkline + KPIs + performance bars
Products,/dashboard/products,Product Search,Filter,Viewer,Live search by product name,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,Live search by product name
Products,/dashboard/products,Multi-column Sort,Sort,Viewer,Revenue / Units / Margin / Trend,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,Revenue / Units / Margin / Trend
Products,/dashboard/products,Export Products CSV,CSV Download,Manager+,,Implemented,/api/products/*,/dashboard/products,Frontend + Backend Products,
Customers,/dashboard/customers,Total Customers KPI Card,KPI Card,Viewer,,Implemented,/api/customers/*,/dashboard/customers,Frontend + Backend Customers,
Customers,/dashboard/customers,New This Period KPI Card,KPI Card,Viewer,With delta,Implemented,/api/customers/*,/dashboard/customers,Frontend + Backend Customers,With delta
Customers,/dashboard/customers,Average Lifetime Value KPI Card,KPI Card,Viewer,With delta,Implemented,/api/customers/*,/dashboard/customers,Frontend + Backend Customers,With delta
Customers,/dashboard/customers,Avg Orders per Customer KPI Card,KPI Card,Viewer,,Implemented,/api/customers/*,/dashboard/customers,Frontend + Backend Customers,
Customers,/dashboard/customers,New Customer Acquisition,Area Chart,Viewer,Monthly 12-month trend,Implemented,/api/customers/*,/dashboard/customers,Frontend + Backend Customers,Monthly 12-month trend
Customers,/dashboard/customers,Customer Segments Breakdown,Bar Fill List,Viewer,VIP / Regular / Casual / At-Risk / New / Churned,Implemented,/api/customers/*,/dashboard/customers,Frontend + Backend Customers,VIP / Regular / Casual / At-Risk / New / Churned
Customers,/dashboard/customers,Revenue by Segment,Horizontal Bar Chart,Viewer,LTV contribution per segment,Implemented,/api/customers/*,/dashboard/customers,Frontend + Backend Customers,LTV contribution per segment
Customers,/dashboard/customers,Customer List Table,Table,Viewer,Searchable / filterable / paginated (50/page),Implemented,/api/customers/*,/dashboard/customers,Frontend + Backend Customers,Searchable / filterable / paginated (50/page)
Customers,/dashboard/customers,Segment Filter,Filter Dropdown,Viewer,Filter table by RFM segment,Implemented,/api/customers/*,/dashboard/customers,Frontend + Backend Customers,Filter table by RFM segment
Customers,/dashboard/customers,Customer Search,Filter,Viewer,Search by name or email,Implemented,/api/customers/*,/dashboard/customers,Frontend + Backend Customers,Search by name or email
Customers,/dashboard/customers,Export Customers CSV,CSV Download,Manager+,,Implemented,/api/customers/*,/dashboard/customers,Frontend + Backend Customers,
Inventory,/dashboard/inventory,Total Stock Value KPI Card,KPI Card,Viewer,Shows catalog value if stock = 0,Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,Shows catalog value if stock = 0
Inventory,/dashboard/inventory,Low Stock Count KPI Card,KPI Card,Viewer,Items with <= 5 units,Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,Items with <= 5 units
Inventory,/dashboard/inventory,Out of Stock Count KPI Card,KPI Card,Viewer,,Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,
Inventory,/dashboard/inventory,In-Stock Rate KPI Card,KPI Card,Viewer,Percentage,Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,Percentage
Inventory,/dashboard/inventory,Overall Capacity Gauge,ECharts Gauge,Viewer,Warehouse utilization %,Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,Warehouse utilization %
Inventory,/dashboard/inventory,Per-Warehouse Capacity Cards,Cards,Viewer,Fill % + status badge,Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,Fill % + status badge
Inventory,/dashboard/inventory,Inventory Alerts Table,Table,Viewer,Color-coded by severity,Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,Color-coded by severity; Full inventory snapshots now stage rows and promote only after the final successful batch.
Inventory,/dashboard/inventory,Alert Detail Panel,Side Panel,Viewer,DSI / reorder / risk zones,Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,DSI / reorder / risk zones
Inventory,/dashboard/inventory,Stock Movements Area Chart,Area Chart,Viewer,30-day incoming vs outgoing,Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,30-day incoming vs outgoing; Full inventory snapshots now stage rows and promote only after the final successful batch.
Inventory,/dashboard/inventory,Days of Stock (DSI) Chart,Horizontal Bar Chart,Viewer,Target line at 30 days,Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,Target line at 30 days
Inventory,/dashboard/inventory,Inventory Turnover Rate,Horizontal Bar Chart,Viewer,Annual turns (365/DSI),Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,Annual turns (365/DSI)
Inventory,/dashboard/inventory,Categories Valuation,Horizontal Bar Chart,Viewer,Value per category,Implemented,/api/inventory/*,/dashboard/inventory,Frontend + Backend Inventory,Value per category
Marketing,/dashboard/marketing,Total Ad Spend KPI Card,KPI Card,Analyst+,With delta — Viewers see locked screen,Planned,Not implemented,/dashboard/marketing,Product Backlog,With delta — Viewers see locked screen; Route/API not present in current codebase.
Marketing,/dashboard/marketing,Blended ROAS KPI Card,KPI Card,Analyst+,With delta,Planned,Not implemented,/dashboard/marketing,Product Backlog,With delta; Route/API not present in current codebase.
Marketing,/dashboard/marketing,Average CPA KPI Card,KPI Card,Analyst+,With delta,Planned,Not implemented,/dashboard/marketing,Product Backlog,With delta; Route/API not present in current codebase.
Marketing,/dashboard/marketing,Email Open Rate KPI Card,KPI Card,Analyst+,With delta,Planned,Not implemented,/dashboard/marketing,Product Backlog,With delta; Route/API not present in current codebase.
Marketing,/dashboard/marketing,Campaign Performance Table,Table,Analyst+,Platform / Spend / ROAS / CPA / Conversions,Planned,Not implemented,/dashboard/marketing,Product Backlog,Platform / Spend / ROAS / CPA / Conversions; Route/API not present in current codebase.
Marketing,/dashboard/marketing,Google vs Meta Daily Spend,Bar Chart,Analyst+,3 bars per day,Planned,Not implemented,/dashboard/marketing,Product Backlog,3 bars per day; Route/API not present in current codebase.
Marketing,/dashboard/marketing,ROAS Trend,Line Chart,Analyst+,Google + Meta 30-day,Planned,Not implemented,/dashboard/marketing,Product Backlog,Google + Meta 30-day; Route/API not present in current codebase.
Marketing,/dashboard/marketing,Attribution Funnel,ECharts Funnel,Analyst+,Impressions → Clicks → Cart → Purchase,Planned,Not implemented,/dashboard/marketing,Product Backlog,Impressions → Clicks → Cart → Purchase; Route/API not present in current codebase.
Marketing,/dashboard/marketing,Spend vs Revenue,Dual-Axis Composed Chart,Analyst+,Stacked spend bars + revenue area,Planned,Not implemented,/dashboard/marketing,Product Backlog,Stacked spend bars + revenue area; Route/API not present in current codebase.
Marketing,/dashboard/marketing,Budget Mix Donut,ECharts Donut,Analyst+,Spend distribution by channel,Planned,Not implemented,/dashboard/marketing,Product Backlog,Spend distribution by channel; Route/API not present in current codebase.
Marketing,/dashboard/marketing,Daily Ad Spend Stacked Area,Area Chart,Analyst+,Google + Meta stacked,Planned,Not implemented,/dashboard/marketing,Product Backlog,Google + Meta stacked; Route/API not present in current codebase.
Marketing,/dashboard/marketing,Role-Locked Screen,Access Gate,Viewer,Viewers see restriction message,Planned,Not implemented,/dashboard/marketing,Product Backlog,Viewers see restriction message; Route/API not present in current codebase.
Regional,/dashboard/regional,Top Region KPI Card,KPI Card,Viewer,Name + revenue + growth %,Implemented,/api/sales/regional,/dashboard/regional,Frontend + Backend Sales,Name + revenue + growth %
Regional,/dashboard/regional,Fastest Growing Region KPI Card,KPI Card,Viewer,,Implemented,/api/sales/regional,/dashboard/regional,Frontend + Backend Sales,
Regional,/dashboard/regional,Needs Attention Region KPI Card,KPI Card,Viewer,,Implemented,/api/sales/regional,/dashboard/regional,Frontend + Backend Sales,
Regional,/dashboard/regional,Regional Breakdown Table,Table,Viewer,Revenue / Orders / Customers / YoY / Share,Implemented,/api/sales/regional,/dashboard/regional,Frontend + Backend Sales,Revenue / Orders / Customers / YoY / Share
Regional,/dashboard/regional,Revenue by Region Bar Chart,Bar Chart,Viewer,Sorted by revenue,Implemented,/api/sales/regional,/dashboard/regional,Frontend + Backend Sales,Sorted by revenue
Regional,/dashboard/regional,YoY Growth Rate,Horizontal Progress Bars,Viewer,Green positive / Red negative,Implemented,/api/sales/regional,/dashboard/regional,Frontend + Backend Sales,Green positive / Red negative
Regional,/dashboard/regional,Current vs Prior Year,Grouped Bar Chart,Viewer,Per region comparison,Implemented,/api/sales/regional,/dashboard/regional,Frontend + Backend Sales,Per region comparison
Regional,/dashboard/regional,Top Cities Table,Table,Viewer,City / Country / Revenue / Orders,Implemented,/api/sales/regional,/dashboard/regional,Frontend + Backend Sales,City / Country / Revenue / Orders
Sync,/dashboard/sync,Last Ingest KPI Card,KPI Card,Admin+,Time since last sync,Implemented,"/api/sync/status, /api/sync/logs, /api/sync/trigger/:module, /api/sync/rotate-key",/dashboard/sync,Backend Admin + Sync Engine,Time since last sync
Sync,/dashboard/sync,Failed Jobs KPI Card,KPI Card,Admin+,Recent count,Implemented,"/api/sync/status, /api/sync/logs, /api/sync/trigger/:module, /api/sync/rotate-key",/dashboard/sync,Backend Admin + Sync Engine,Recent count
Sync,/dashboard/sync,Rows Synced KPI Card,KPI Card,Admin+,Inserted + updated,Implemented,"/api/sync/status, /api/sync/logs, /api/sync/trigger/:module, /api/sync/rotate-key",/dashboard/sync,Backend Admin + Sync Engine,Inserted + updated
Sync,/dashboard/sync,Average Latency KPI Card,KPI Card,Admin+,Per batch,Implemented,"/api/sync/status, /api/sync/logs, /api/sync/trigger/:module, /api/sync/rotate-key",/dashboard/sync,Backend Admin + Sync Engine,Per batch
Sync,/dashboard/sync,Manual Sync Trigger (per module),Button,Admin+,Orders / Products / Customers / Inventory,Implemented,"/api/sync/status, /api/sync/logs, /api/sync/trigger/:module, /api/sync/rotate-key",/dashboard/sync,Backend Admin + Sync Engine,Orders / Products / Customers / Inventory
Sync,/dashboard/sync,Sync All Modules Button,Button,Admin+,Triggers all 4 modules,Implemented,"/api/sync/status, /api/sync/logs, /api/sync/trigger/:module, /api/sync/rotate-key",/dashboard/sync,Backend Admin + Sync Engine,Triggers all 4 modules
Sync,/dashboard/sync,Sync Logs Table,Table,Admin+,Paginated / 15s live refresh,Implemented,"/api/sync/status, /api/sync/logs, /api/sync/trigger/:module, /api/sync/rotate-key",/dashboard/sync,Backend Admin + Sync Engine,Paginated / 15s live refresh
Sync,/dashboard/sync,Sync Watermarks Display,Status Cards,Admin+,Per-module last sync state,Implemented,"/api/sync/status, /api/sync/logs, /api/sync/trigger/:module, /api/sync/rotate-key",/dashboard/sync,Backend Admin + Sync Engine,Per-module last sync state
Sync,/dashboard/sync,API Key Rotation,Button + Display,Super-Admin,Masked / 30s visibility window,Implemented,"/api/sync/status, /api/sync/logs, /api/sync/trigger/:module, /api/sync/rotate-key",/dashboard/sync,Backend Admin + Sync Engine,Masked / 30s visibility window
Admin,/dashboard/admin,Total Users KPI Card,KPI Card,Admin+,,Implemented,/api/admin/*,/dashboard/admin,Backend Admin,
Admin,/dashboard/admin,Active Users KPI Card,KPI Card,Admin+,,Implemented,/api/admin/*,/dashboard/admin,Backend Admin,
Admin,/dashboard/admin,Inactive Users KPI Card,KPI Card,Admin+,,Implemented,/api/admin/*,/dashboard/admin,Backend Admin,
Admin,/dashboard/admin,Pending Password Change KPI Card,KPI Card,Admin+,,Implemented,/api/admin/*,/dashboard/admin,Backend Admin,
Admin,/dashboard/admin,User Management Table,Table,Admin+,Search / create / edit / deactivate,Implemented,/api/admin/*,/dashboard/admin,Backend Admin,Search / create / edit / deactivate
Admin,/dashboard/admin,Create User Modal,Modal Form,Admin+,Email / Name / Role / Department,Implemented,/api/admin/*,/dashboard/admin,Backend Admin,Email / Name / Role / Department
Admin,/dashboard/admin,Edit User Modal,Modal Form,Admin+,Name / Role / Department,Implemented,/api/admin/*,/dashboard/admin,Backend Admin,Name / Role / Department
Admin,/dashboard/admin,Manage Permissions Modal,Modal Form,Super-Admin,Catalog-based checkboxes,Implemented,/api/admin/*,/dashboard/admin,Backend Admin,Catalog-based checkboxes
Admin,/dashboard/admin,Password Reset,Action,Admin+,Direct action per user,Implemented,/api/admin/*,/dashboard/admin,Backend Admin,Direct action per user; backend returns temp password once and frontend shows one-time copy modal.
Admin,/dashboard/admin,Activate / Deactivate User,Action,Admin+,Toggle user status,Implemented,/api/admin/*,/dashboard/admin,Backend Admin,Toggle user status
Admin,/dashboard/admin,Sync API Key Display & Rotation,Control,Super-Admin,30s timed visibility,Implemented,/api/admin/*,/dashboard/admin,Backend Admin,30s timed visibility
Super-Admin,/dashboard/super-admin,Total Tenants KPI Card,KPI Card,Super-Admin,,Implemented,"/api/admin/platform/overview, /api/admin/tenants, /api/admin/audit-logs",/dashboard/super-admin,Backend Admin,
Super-Admin,/dashboard/super-admin,Active Tenants KPI Card,KPI Card,Super-Admin,,Implemented,"/api/admin/platform/overview, /api/admin/tenants, /api/admin/audit-logs",/dashboard/super-admin,Backend Admin,
Super-Admin,/dashboard/super-admin,Total Users KPI Card,KPI Card,Super-Admin,Across all tenants,Implemented,"/api/admin/platform/overview, /api/admin/tenants, /api/admin/audit-logs",/dashboard/super-admin,Backend Admin,Across all tenants
Super-Admin,/dashboard/super-admin,Syncs Today KPI Card,KPI Card,Super-Admin,With delta vs yesterday,Implemented,"/api/admin/platform/overview, /api/admin/tenants, /api/admin/audit-logs",/dashboard/super-admin,Backend Admin,With delta vs yesterday
Super-Admin,/dashboard/super-admin,Tenant Management Table,Table,Super-Admin,Search / create / edit,Implemented,"/api/admin/platform/overview, /api/admin/tenants, /api/admin/audit-logs",/dashboard/super-admin,Backend Admin,Search / create / edit
Super-Admin,/dashboard/super-admin,Create Tenant Modal,Modal Form,Super-Admin,Company / Slug / Timezone / Currency / VAT + First Admin,Implemented,"/api/admin/platform/overview, /api/admin/tenants, /api/admin/audit-logs",/dashboard/super-admin,Backend Admin,Company / Slug / Timezone / Currency / VAT + First Admin
Super-Admin,/dashboard/super-admin,Tenant Key Rotation,Action,Super-Admin,Rotate sync API key,Implemented,"/api/admin/platform/overview, /api/admin/tenants, /api/admin/audit-logs",/dashboard/super-admin,Backend Admin,Rotate sync API key
Super-Admin,/dashboard/super-admin,Activate / Deactivate Tenant,Action,Super-Admin,,Implemented,"/api/admin/platform/overview, /api/admin/tenants, /api/admin/audit-logs",/dashboard/super-admin,Backend Admin,
Settings,/dashboard/settings,Profile Tab,Form,All,Name / Email / Role display,Implemented,"/api/auth/me, /api/auth/profile, /api/auth/preferences, /api/auth/change-password, /api/auth/logout-all",/dashboard/settings,Frontend + Auth,Name / Email / Role display
Settings,/dashboard/settings,Password Tab,Form,All,Strength indicator + validation rules,Implemented,"/api/auth/me, /api/auth/profile, /api/auth/preferences, /api/auth/change-password, /api/auth/logout-all",/dashboard/settings,Frontend + Auth,Strength indicator + validation rules
Settings,/dashboard/settings,Appearance & Defaults Tab,Form,All,Date range / Currency / Timezone,Implemented,"/api/auth/me, /api/auth/profile, /api/auth/preferences, /api/auth/change-password, /api/auth/logout-all",/dashboard/settings,Frontend + Auth,Date range / Currency / Timezone
Settings,/dashboard/settings,Alerts Tab,Form,All,Threshold slider / Email alerts toggle,Implemented,"/api/auth/me, /api/auth/profile, /api/auth/preferences, /api/auth/change-password, /api/auth/logout-all",/dashboard/settings,Frontend + Auth,Threshold slider / Email alerts toggle
Settings,/dashboard/settings,Danger Zone Tab,Actions,All,Sign out all sessions / Reset preferences / Delete account,Partial,"/api/auth/me, /api/auth/profile, /api/auth/preferences, /api/auth/change-password, /api/auth/logout-all",/dashboard/settings,Frontend + Auth,Sign out all sessions implemented via /api/auth/logout-all; delete account removed until safe deactivation is designed.
Auth,Login Page,Email + Password Login,Auth,All,JWT-based,Implemented,"/api/auth/login, /api/auth/refresh, /api/auth/logout, /api/auth/logout-all",N/A,Backend Auth,JWT-based
Auth,Login Page,Refresh Token,Auth,All,Cookie-based auto-refresh,Implemented,"/api/auth/login, /api/auth/refresh, /api/auth/logout, /api/auth/logout-all",N/A,Backend Auth,Cookie-based auto-refresh
Auth,Login Page,Session Throttling,Security,All,5 attempts/min login / 20/min refresh,Implemented,"/api/auth/login, /api/auth/refresh, /api/auth/logout, /api/auth/logout-all",N/A,Backend Auth,5 attempts/min login / 20/min refresh
Auth,System-wide,Role-Based Access Control,Permission System,All,viewer / analyst / manager / admin / super_admin,Implemented,"/api/auth/login, /api/auth/refresh, /api/auth/logout, /api/auth/logout-all",N/A,Backend Auth,viewer / analyst / manager / admin / super_admin
Auth,System-wide,Permission Catalog,Permission System,Admin+,Direct + inherited permissions per user,Implemented,"/api/auth/login, /api/auth/refresh, /api/auth/logout, /api/auth/logout-all",N/A,Backend Auth,Direct + inherited permissions per user
Auth,System-wide,Field-Level Data Masking,Security,All,Margins / costs hidden from Viewers,Implemented,"/api/auth/login, /api/auth/refresh, /api/auth/logout, /api/auth/logout-all",N/A,Backend Auth,Margins / costs hidden from Viewers
Auth,System-wide,Tenant Isolation,Security,All,Row-level data boundary enforcement,Implemented,"/api/auth/login, /api/auth/refresh, /api/auth/logout, /api/auth/logout-all",N/A,Backend Auth,Row-level data boundary enforcement
Auth,System-wide,Audit Trail,Logging,All,Every API call logged with user + action + timestamp,Implemented,"/api/auth/login, /api/auth/refresh, /api/auth/logout, /api/auth/logout-all",N/A,Backend Auth,Every API call logged with user + action + timestamp
Backend,API / Infrastructure,Redis Caching,Infrastructure,N/A,TTL per endpoint / invalidated on sync,Implemented,Backend infrastructure,N/A,Platform,TTL per endpoint / invalidated on sync
Backend,API / Infrastructure,Circuit Breaker,Infrastructure,N/A,Postgres + Redis failure protection,Implemented,Backend infrastructure,N/A,Platform,Postgres + Redis failure protection
Backend,API / Infrastructure,Health Check Endpoint,API,N/A,Postgres / Redis / data integrity status,Implemented,Backend infrastructure,N/A,Platform,Public /healthz is minimal; detailed diagnostics are protected at /admin/health.
Backend,API / Infrastructure,Materialized Views,Database,N/A,Pre-computed KPI queries,Implemented,Backend infrastructure,N/A,Platform,Pre-computed KPI queries
Backend,API / Infrastructure,Linear Regression Forecasting,Analytics,N/A,14-day revenue projection + R2 score,Implemented,Backend infrastructure,N/A,Platform,14-day revenue projection + R2 score
Backend,API / Infrastructure,RFM Customer Segmentation,Analytics,N/A,VIP / Regular / Casual / At-Risk / New / Churned,Implemented,Backend infrastructure,N/A,Platform,VIP / Regular / Casual / At-Risk / New / Churned
Backend,API / Infrastructure,CSV Export (Products),Export,Manager+,Full filtered export,Implemented,Backend infrastructure,N/A,Platform,Full filtered export; Implemented at /api/products/export.
Backend,API / Infrastructure,CSV Export (Customers),Export,Manager+,Full filtered export,Implemented,Backend infrastructure,N/A,Platform,Full filtered export; Implemented at /api/customers/export.
Backend,API / Infrastructure,Multi-tenancy,Architecture,N/A,Full tenant isolation at data + API level,Implemented,Backend infrastructure,N/A,Platform,Global tenant isolation guard rejects cross-tenant tenantId params/query/body for non-super-admin users.
Sync Engine,Windows .NET App,Orders Sync Job,Sync,N/A,Full order + order-item sync from JTL Wawi,Implemented,"/api/sync/ingest, /api/sync/engine/triggers",N/A,Sync Engine,Full order + order-item sync from JTL Wawi; Sync API key guard validates Bearer key and tenant state; payload includes syncRunId and syncMode for run/batch tracking.
Sync Engine,Windows .NET App,Products Sync Job,Sync,N/A,Product catalog sync,Implemented,"/api/sync/ingest, /api/sync/engine/triggers",N/A,Sync Engine,Product catalog sync; Sync API key guard validates Bearer key and tenant state; payload includes syncRunId and syncMode for run/batch tracking.
Sync Engine,Windows .NET App,Customers Sync Job,Sync,N/A,Customer + address sync,Implemented,"/api/sync/ingest, /api/sync/engine/triggers",N/A,Sync Engine,Customer + address sync; Sync API key guard validates Bearer key and tenant state; payload includes syncRunId and syncMode for run/batch tracking.
